Unnamed: 0,10/7,10/8,10/9,10/10,10/11,10/12,10/13,10/14,11/26,11/27,11/28,11/29,11/30,12/1,12/2,12/3
Product24,31.49,24.49,24.49,34.99,34.99,34.99,34.99,34.99,31.927500000000006,31.927500000000006,31.927500000000006,31.927500000000006,31.927500000000006,31.927500000000006,31.927500000000006,31.927500000000006
Product25,49.96,49.96,49.96,49.96,49.96,49.96,49.96,49.96,49.959999999999994,49.959999999999994,49.959999999999994,49.959999999999994,49.959999999999994,49.959999999999994,49.959999999999994,49.959999999999994
Product26,17.99,14.38,14.38,17.99,17.99,17.99,17.99,17.99,17.0875,17.0875,17.0875,17.0875,17.0875,17.0875,17.0875,17.0875
Product27,599.0,499.99,499.99,599.0,599.0,599.0,599.0,599.0,574.2475,574.2475,574.2475,574.2475,574.2475,574.2475,574.2475,574.2475
Product28,30.0,21.0,21.0,30.0,30.0,30.0,30.0,30.0,27.75,27.75,27.75,27.75,27.75,27.75,27.75,27.75
Product29,19.82,14.24,14.24,19.82,19.82,19.82,19.82,19.82,18.424999999999997,18.424999999999997,18.424999999999997,18.424999999999997,18.424999999999997,18.424999999999997,18.424999999999997,18.424999999999997
Product30,23.74,17.49,17.49,24.99,24.17,24.99,24.99,24.99,22.856250000000003,22.856250000000003,22.856250000000003,22.856250000000003,22.856250000000003,22.856250000000003,22.856250000000003,22.856250000000003
Product31,12.93,12.93,12.93,12.93,12.93,12.93,12.93,12.93,12.930000000000003,12.930000000000003,12.930000000000003,12.930000000000003,12.930000000000003,12.930000000000003,12.930000000000003,12.930000000000003
Product32,24.99,19.99,19.99,24.99,24.99,24.99,24.99,24.99,23.740000000000002,23.740000000000002,23.740000000000002,23.740000000000002,23.740000000000002,23.740000000000002,23.740000000000002,23.740000000000002
Product33,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97
Product34,9.29,8.79,8.83,8.97,8.96,8.94,8.94,8.94,8.9575,8.9575,8.9575,8.9575,8.9575,8.9575,8.9575,8.9575
Product35,34.97,34.97,34.97,34.97,34.97,34.97,34.97,34.97,34.97,34.97,34.97,34.97,34.97,34.97,34.97,34.97
Product36,63.99,63.99,63.99,63.99,63.99,63.99,63.99,63.99,63.99,63.99,63.99,63.99,63.99,63.99,63.99,63.99
