10/7,10/8,10/9,10/10,10/11,10/12,10/13,10/14,11/26,11/27,11/28,11/29,11/30,12/1,12/2,12/3
9.97,9.97,9.97,9.97,17.98,19.06,19.06,19.06,223.08658456616988,225.09746504269074,227.11188139495832,229.12983362297214,231.15132172673174,-10.410066473362292,-11.952741121819713,-13.49187989453091
14.99,11.99,11.99,14.99,14.99,14.99,14.99,14.99,47.15700333512188,47.470812136165364,47.78517098149929,48.10007987112355,48.41553880503825,9.834797741245943,9.59581203045078,9.357376363946003
4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78
169.99,144.49,144.48,169.99,169.99,169.99,169.99,169.99,443.516568022406,446.184987483981,448.85808415958417,451.53585804921545,454.2183091528748,126.15685855686525,124.12467792019504,122.09717449755306
159.95,159.95,149.95,199.95,199.95,199.95,199.95,199.95,308.24702283639186,309.29895236218147,310.3526541859651,311.40812830774223,312.4653747275132,146.98106975649102,146.2518397985059,145.52438213851462
199.99,139.99,139.99,199.99,169.99,169.99,169.99,169.99,177.412955040435,177.42511608702944,177.43726749612057,177.44940926770838,177.46154140179283,160.31920071730448,160.34104745474525,160.36288455468272
22.49,16.02,16.02,22.49,22.49,22.49,22.49,22.49,91.86350385937101,92.54028484028804,93.21825208339132,93.89740558868088,94.57774535615671,11.371947128662725,10.85653461238114,10.34230835828582
31.49,24.49,24.49,34.99,34.99,34.99,34.99,34.99,110.15635912731823,110.8892163848142,111.623351368578,112.35876407860972,113.0954545149094,19.544609681983673,18.993352040199184,18.443372124682654
49.96,49.96,49.96,49.96,49.96,49.96,49.96,49.96,49.96,49.96,49.96,49.96,49.96,49.96,49.96,49.96
17.99,14.38,14.38,17.99,17.99,17.99,17.99,17.99,56.69762734654987,57.075243937138765,57.45352241435704,57.83246277820474,58.212065028681934,11.786573282013194,11.498993810023002,11.212076224662233
599.0,499.99,499.99,599.0,599.0,599.0,599.0,599.0,1660.618333401047,1670.9750698648106,1681.349959623638,1691.7430026775305,1702.1541990264852,428.86114145603733,420.9738163807601,413.10464460054664
30.0,21.0,21.0,30.0,30.0,30.0,30.0,30.0,126.50101000522709,127.44243640835717,128.3855129443584,129.3302396132308,130.2766164149741,14.534393223877672,13.817436091492127,13.10212909197773
19.82,14.24,14.24,19.82,19.82,19.82,19.82,19.82,79.65062620327268,80.23431057321338,80.81901802553432,81.40474856023526,81.99150217731632,10.231323798772046,9.786810376693012,9.343320036994115
23.74,17.49,17.49,24.99,24.17,24.99,24.99,24.99,100.6566914849171,101.3963953971886,102.13739480997572,102.87968972327843,103.62328013709677,12.149202798901655,11.586928692988579,11.025950087591085
12.93,12.93,12.93,12.93,12.93,12.93,12.93,12.93,12.93,12.93,12.93,12.93,12.93,12.93,12.93,12.93
